,ASIN,AVAILABILITY,CATEGORY,NAME,ORIGINAL_PRICE,SALE_PRICE,URL,date,Threshold
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,2,http://www.amazon.com/dp/B01HSIIFQ2,6/20/2019,12
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,3,http://www.amazon.com/dp/B01HSIIFQ2,6/21/2019,12
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,4,http://www.amazon.com/dp/B01HSIIFQ2,6/22/2019,12
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,10,http://www.amazon.com/dp/B01HSIIFQ2,6/23/2019,12
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,10,http://www.amazon.com/dp/B01HSIIFQ2,6/23/2019,12
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,11,http://www.amazon.com/dp/B01HSIIFQ2,6/24/2019,12
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",39.99,39.99,http://www.amazon.com/dp/B07H2JNF9V,6/24/2019,15
2,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso OriginalLine Espresso Capsules, Variety Pack, VOLLUTO, ROMA, COSI, VIVALTO LUNGO, ARPEGGIO, 50Count pods",35,35,http://www.amazon.com/dp/B00BJB1L5C,6/24/2019,20
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,1,http://www.amazon.com/dp/B01HSIIFQ2,6/24/2019,12
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",39.99,39.99,http://www.amazon.com/dp/B07H2JNF9V,6/24/2019,15
2,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso OriginalLine Espresso Capsules, Variety Pack, VOLLUTO, ROMA, COSI, VIVALTO LUNGO, ARPEGGIO, 50Count pods",35,35,http://www.amazon.com/dp/B00BJB1L5C,6/24/2019,20
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,12,http://www.amazon.com/dp/B01HSIIFQ2,6/25/2019,12
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",39.99,39.99,http://www.amazon.com/dp/B07H2JNF9V,6/25/2019,15
2,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso OriginalLine Espresso Capsules, Variety Pack, VOLLUTO, ROMA, COSI, VIVALTO LUNGO, ARPEGGIO, 50Count pods",35,35,http://www.amazon.com/dp/B00BJB1L5C,6/25/2019,20
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,12,http://www.amazon.com/dp/B01HSIIFQ2,6/25/2019,12
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",39.99,39.99,http://www.amazon.com/dp/B07H2JNF9V,6/25/2019,15
2,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso OriginalLine Espresso Capsules, Variety Pack, VOLLUTO, ROMA, COSI, VIVALTO LUNGO, ARPEGGIO, 50Count pods",35,35,http://www.amazon.com/dp/B00BJB1L5C,6/25/2019,20
3,B01MG4VZCT,In Stock.,"Home & Kitchen > Kitchen & Dining > Coffee, Tea & Espresso > Coffee Makers > Coffee Machines","Nespresso Inissia Espresso Machine by De'Longhi, Black",108,108,http://www.amazon.com/dp/B01MG4VZCT,6/25/2019,110
0,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,12,http://www.amazon.com/dp/B01HSIIFQ2,6/26/2019,12
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",39.99,39.99,http://www.amazon.com/dp/B07H2JNF9V,6/26/2019,15
2,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso OriginalLine Espresso Capsules, Variety Pack, VOLLUTO, ROMA, COSI, VIVALTO LUNGO, ARPEGGIO, 50Count pods",35,35,http://www.amazon.com/dp/B00BJB1L5C,6/26/2019,20
3,B01MG4VZCT,In Stock.,"Home & Kitchen > Kitchen & Dining > Coffee, Tea & Espresso > Coffee Makers > Coffee Machines","Nespresso Inissia Espresso Machine by De'Longhi, Black",108,108,http://www.amazon.com/dp/B01MG4VZCT,6/26/2019,110
0,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,6/26/2019,12
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",39.99,39.99,http://www.amazon.com/dp/B07H2JNF9V,6/26/2019,15
2,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso OriginalLine Espresso Capsules, Variety Pack, VOLLUTO, ROMA, COSI, VIVALTO LUNGO, ARPEGGIO, 50Count pods",35,35,http://www.amazon.com/dp/B00BJB1L5C,6/26/2019,20
3,B01MG4VZCT,In Stock.,"Home & Kitchen > Kitchen & Dining > Coffee, Tea & Espresso > Coffee Makers > Coffee Machines","Nespresso Inissia Espresso Machine by De'Longhi, Black",108,108,http://www.amazon.com/dp/B01MG4VZCT,6/26/2019,110
0,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,6/26/2019,12
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",39.99,39.99,http://www.amazon.com/dp/B07H2JNF9V,6/26/2019,15
2,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso OriginalLine Espresso Capsules, Variety Pack, VOLLUTO, ROMA, COSI, VIVALTO LUNGO, ARPEGGIO, 50Count pods",35,35,http://www.amazon.com/dp/B00BJB1L5C,6/26/2019,20
3,B01MG4VZCT,In Stock.,"Home & Kitchen > Kitchen & Dining > Coffee, Tea & Espresso > Coffee Makers > Coffee Machines","Nespresso Inissia Espresso Machine by De'Longhi, Black",108,108,http://www.amazon.com/dp/B01MG4VZCT,6/26/2019,110
1,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,7/1/2019,12
1,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,7/1/2019,12
1,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,7/1/2019,12
1,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,7/1/2019,12
1,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,7/1/2019,12
1,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,7/1/2019,12
1,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,7/1/2019,12
1,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,7/1/2019,12
1,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,7/1/2019,12
1,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,7/1/2019,12
0,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,$14.99 ,14.99,http://www.amazon.com/dp/B01HSIIFQ2,7/1/2019,12
1,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Variety Pack Capsules for OriginalLine by Nespresso, 50 Count Espresso Pods, Assorted Light & Split Roasts | 5 Coffee Flavors Include Volluto, Roma, Cosi, Vivalto Lungo & Arpeggio",$35.00 ,35,http://www.amazon.com/dp/B00BJB1L5C,7/1/2019,20
2,B01MG4VZCT,In Stock.,"Home & Kitchen > Kitchen & Dining > Coffee, Tea & Espresso > Coffee Makers > Coffee Machines","Nespresso Inissia Espresso Machine by De'Longhi, Black",$108.00 ,108,http://www.amazon.com/dp/B01MG4VZCT,7/1/2019,110
3,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",$39.99 ,39.99,http://www.amazon.com/dp/B07H2JNF9V,7/1/2019,15
0,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,$14.99 ,14.99,http://www.amazon.com/dp/B01HSIIFQ2,7/1/2019,12
1,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Variety Pack Capsules for OriginalLine by Nespresso, 50 Count Espresso Pods, Assorted Light & Split Roasts | 5 Coffee Flavors Include Volluto, Roma, Cosi, Vivalto Lungo & Arpeggio",$35.00 ,35,http://www.amazon.com/dp/B00BJB1L5C,7/1/2019,20
2,B01MG4VZCT,In Stock.,"Home & Kitchen > Kitchen & Dining > Coffee, Tea & Espresso > Coffee Makers > Coffee Machines","Nespresso Inissia Espresso Machine by De'Longhi, Black",$108.00 ,108,http://www.amazon.com/dp/B01MG4VZCT,7/1/2019,110
3,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",$39.99 ,39.99,http://www.amazon.com/dp/B07H2JNF9V,7/1/2019,15
0,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,$14.99 ,14.99,http://www.amazon.com/dp/B01HSIIFQ2,7/1/2019,12
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",$39.99 ,39.99,http://www.amazon.com/dp/B07H2JNF9V,7/1/2019,15
2,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Variety Pack Capsules for OriginalLine by Nespresso, 50 Count Espresso Pods, Assorted Light & Split Roasts | 5 Coffee Flavors Include Volluto, Roma, Cosi, Vivalto Lungo & Arpeggio",$35.00 ,35,http://www.amazon.com/dp/B00BJB1L5C,7/1/2019,20
3,B01MG4VZCT,In Stock.,"Home & Kitchen > Kitchen & Dining > Coffee, Tea & Espresso > Coffee Makers > Coffee Machines","Nespresso Inissia Espresso Machine by De'Longhi, Black",$108.00 ,108,http://www.amazon.com/dp/B01MG4VZCT,7/1/2019,110
0,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,$14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,2019-07-01,35
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",$39.99,39.99,http://www.amazon.com/dp/B07H2JNF9V,2019-07-01,15
2,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Variety Pack Capsules for OriginalLine by Nespresso, 50 Count Espresso Pods, Assorted Light & Split Roasts | 5 Coffee Flavors Include Volluto, Roma, Cosi, Vivalto Lungo & Arpeggio",$35.00,35.0,http://www.amazon.com/dp/B00BJB1L5C,2019-07-01,20
3,B01MG4VZCT,In Stock.,"Home & Kitchen > Kitchen & Dining > Coffee, Tea & Espresso > Coffee Makers > Coffee Machines","Nespresso Inissia Espresso Machine by De'Longhi, Black",$108.00,108.0,http://www.amazon.com/dp/B01MG4VZCT,2019-07-01,100
0,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,$14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,2019-07-01,35
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",$39.99,39.99,http://www.amazon.com/dp/B07H2JNF9V,2019-07-01,15
2,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Variety Pack Capsules for OriginalLine by Nespresso, 50 Count Espresso Pods, Assorted Light & Split Roasts | 5 Coffee Flavors Include Volluto, Roma, Cosi, Vivalto Lungo & Arpeggio",$35.00,35.0,http://www.amazon.com/dp/B00BJB1L5C,2019-07-01,20
3,B01MG4VZCT,In Stock.,"Home & Kitchen > Kitchen & Dining > Coffee, Tea & Espresso > Coffee Makers > Coffee Machines","Nespresso Inissia Espresso Machine by De'Longhi, Black",$108.00,108.0,http://www.amazon.com/dp/B01MG4VZCT,2019-07-01,100
0,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,$14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,2019-07-02,35
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",$39.99,39.99,http://www.amazon.com/dp/B07H2JNF9V,2019-07-02,15
2,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Variety Pack Capsules for OriginalLine by Nespresso, 50 Count Espresso Pods, Assorted Light & Split Roasts | 5 Coffee Flavors Include Volluto, Roma, Cosi, Vivalto Lungo & Arpeggio",$35.00,35.0,http://www.amazon.com/dp/B00BJB1L5C,2019-07-02,20
3,B01MG4VZCT,In Stock.,"Home & Kitchen > Kitchen & Dining > Coffee, Tea & Espresso > Coffee Makers > Coffee Machines","Nespresso Inissia Espresso Machine by De'Longhi, Black",$108.00,108.0,http://www.amazon.com/dp/B01MG4VZCT,2019-07-02,100
0,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,$14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,2019-07-02,35
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",$39.99,39.99,http://www.amazon.com/dp/B07H2JNF9V,2019-07-02,15
2,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Variety Pack Capsules for OriginalLine by Nespresso, 50 Count Espresso Pods, Assorted Light & Split Roasts | 5 Coffee Flavors Include Volluto, Roma, Cosi, Vivalto Lungo & Arpeggio",$35.00,35.0,http://www.amazon.com/dp/B00BJB1L5C,2019-07-02,20
3,B01MG4VZCT,In Stock.,"Home & Kitchen > Kitchen & Dining > Coffee, Tea & Espresso > Coffee Makers > Coffee Machines","Nespresso Inissia Espresso Machine by De'Longhi, Black",$108.00,108.0,http://www.amazon.com/dp/B01MG4VZCT,2019-07-02,100
0,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,$14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,2019-07-02,35
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",$39.99,39.99,http://www.amazon.com/dp/B07H2JNF9V,2019-07-02,15
2,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Variety Pack Capsules for OriginalLine by Nespresso, 50 Count Espresso Pods, Assorted Light & Split Roasts | 5 Coffee Flavors Include Volluto, Roma, Cosi, Vivalto Lungo & Arpeggio",$35.00,35.0,http://www.amazon.com/dp/B00BJB1L5C,2019-07-02,20
3,B01MG4VZCT,In Stock.,"Home & Kitchen > Kitchen & Dining > Coffee, Tea & Espresso > Coffee Makers > Coffee Machines","Nespresso Inissia Espresso Machine by De'Longhi, Black",$108.00,108.0,http://www.amazon.com/dp/B01MG4VZCT,2019-07-02,100
0,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,$14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,2019-07-02,35
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",$39.99,39.99,http://www.amazon.com/dp/B07H2JNF9V,2019-07-02,15
2,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Variety Pack Capsules for OriginalLine by Nespresso, 50 Count Espresso Pods, Assorted Light & Split Roasts | 5 Coffee Flavors Include Volluto, Roma, Cosi, Vivalto Lungo & Arpeggio",$35.00,35.0,http://www.amazon.com/dp/B00BJB1L5C,2019-07-02,20
3,B01MG4VZCT,In Stock.,"Home & Kitchen > Kitchen & Dining > Coffee, Tea & Espresso > Coffee Makers > Coffee Machines","Nespresso Inissia Espresso Machine by De'Longhi, Black",$108.00,108.0,http://www.amazon.com/dp/B01MG4VZCT,2019-07-02,100
0,B01HSIIFQ2,In Stock.,Toys & Games > Games & Accessories > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,$14.99,14.99,http://www.amazon.com/dp/B01HSIIFQ2,2019-07-02,35
